Отметка времени,твой summary
16.12.2021 0:15:17,5469
16.12.2021 0:16:31,9389
16.12.2021 0:17:40,6910
16.12.2021 0:17:50,5932
16.12.2021 0:17:57,5920
16.12.2021 0:17:59,8388
16.12.2021 0:18:00,7490
16.12.2021 0:18:04,5498
16.12.2021 0:18:09,5087
16.12.2021 0:18:10,5113
16.12.2021 0:18:28,5488
16.12.2021 0:18:30,4330
16.12.2021 0:18:36,6818
16.12.2021 0:19:01,4090
16.12.2021 0:19:44,5939
16.12.2021 0:28:14,6910
16.12.2021 0:28:18,3590
16.12.2021 0:28:24,7741
16.12.2021 0:28:27,7155
16.12.2021 0:28:42,2857
16.12.2021 0:28:48,6250
16.12.2021 0:28:52,6911
16.12.2021 0:28:57,6050
16.12.2021 0:29:04,7270
16.12.2021 0:29:08,5350
16.12.2021 0:29:21,6930
16.12.2021 0:29:49,5113
16.12.2021 0:29:50,4750
16.12.2021 0:29:54,5498
16.12.2021 0:30:03,5588
16.12.2021 0:30:06,4937
16.12.2021 0:30:17,2528
16.12.2021 0:30:22,5529
16.12.2021 0:30:26,5280
16.12.2021 0:30:28,5600
16.12.2021 0:30:34,3580
16.12.2021 0:30:45,6025
16.12.2021 0:30:57,6860
16.12.2021 0:31:04,6500
16.12.2021 0:31:13,4090
16.12.2021 0:31:17,6980
16.12.2021 0:31:34,5850
16.12.2021 0:31:38,6141
16.12.2021 0:31:56,7976
16.12.2021 0:31:56,5530
16.12.2021 0:32:09,5932
16.12.2021 0:32:51,6010
16.12.2021 0:33:00,4180
16.12.2021 0:33:07,6515
16.12.2021 0:33:21,5750
16.12.2021 0:34:07,5259
16.12.2021 0:34:36,5208
16.12.2021 0:34:56,6059
16.12.2021 0:34:57,3935
16.12.2021 0:37:30,4220
16.12.2021 0:38:31,6755
16.12.2021 0:39:07,4900
16.12.2021 0:40:01,5909
16.12.2021 0:40:26,5500
16.12.2021 0:41:10,6336
16.12.2021 0:41:42,6547
16.12.2021 0:47:25,3300
16.12.2021 0:58:11,7389
16.12.2021 0:58:36,5771
16.12.2021 0:58:50,6707
16.12.2021 1:00:22,6200
16.12.2021 1:00:54,6428
16.12.2021 1:04:46,6514
16.12.2021 1:05:22,7618
16.12.2021 1:15:48,4200
16.12.2021 1:37:13,5289
16.12.2021 1:37:35,4026
16.12.2021 1:52:05,7689
16.12.2021 3:18:13,4811
16.12.2021 7:14:02,6430
16.12.2021 8:50:02,5997
16.12.2021 9:07:21,5721
16.12.2021 9:07:42,7950
16.12.2021 9:08:03,6690
16.12.2021 9:08:04,6220
16.12.2021 9:08:05,6086
16.12.2021 9:08:25,8516
16.12.2021 9:08:47,5020
16.12.2021 9:11:53,3700
16.12.2021 9:15:15,4231
16.12.2021 9:31:31,5500
16.12.2021 9:34:39,3177
16.12.2021 10:07:03,3669
16.12.2021 10:07:20,7008
16.12.2021 10:29:17,7128
16.12.2021 10:34:01,4960
16.12.2021 10:42:37,4330
16.12.2021 11:19:14,7470
16.12.2021 11:25:03,3800
16.12.2021 11:52:00,5934
16.12.2021 12:10:46,6700
16.12.2021 12:14:03,6029
16.12.2021 12:35:34,8181
16.12.2021 13:54:54,4835
16.12.2021 13:57:28,4040
16.12.2021 14:46:05,7336
16.12.2021 14:58:57,7460
16.12.2021 14:59:43,6254
16.12.2021 16:56:00,5319
16.12.2021 17:45:48,7325
16.12.2021 23:54:45,5566
17.12.2021 0:03:43,7211
17.12.2021 0:04:38,3480
17.12.2021 0:20:52,4566
17.12.2021 0:24:07,3747
17.12.2021 0:30:24,5088
17.12.2021 10:31:16,6000
17.12.2021 17:42:14,6221